id,filename,taken_at,day,distance_mi,lat,lon,route_offset_m,photographer,caption,featured
IMG_9922,IMG_9922.JPEG,2026-07-13T11:08:47,1,17.046,52.695422,-117.902328,23.5,,,False
IMG_5613,IMG_5613.JPEG,2026-07-14T08:50:56,2,67.985,52.21675,-117.178872,3.6,,,False
IMG_0023,IMG_0023.JPEG,2026-07-14T09:28:22,2,76.218,52.173317,-117.056794,2.8,,,False
IMG_0066,IMG_0066.JPEG,2026-07-14T13:02:56,2,107.918,51.849678,-116.628731,14.2,,,False
IMG_0071,IMG_0071.JPEG,2026-07-14T13:03:24,2,107.918,51.8497,-116.6287,12.9,,,False
IMG_0127,IMG_0127.JPEG,2026-07-15T08:54:56,3,149.873,51.399444,-116.127564,6.1,,,False
IMG_0143,IMG_0143.JPEG,2026-07-15T09:55:31,3,162.921,51.27385,-115.928719,8.6,,,False
IMG_0171,IMG_0171.JPEG,2026-07-15T11:35:27,3,176.987,51.161894,-116.152703,15.9,,,False
IMG_5696,IMG_5696.JPEG,2026-07-15T13:25:35,3,197.924,50.925775,-116.007478,23.3,,,False
IMG_0266,IMG_0266.JPEG,2026-07-16T10:45:54,4,267.511,50.165008,-115.847161,17.0,,,False
IMG_0335,IMG_0335.JPEG,2026-07-18T09:46:04,5,351.277,49.375683,-115.301483,10.5,,,False
IMG_0347,IMG_0347.JPEG,2026-07-18T12:04:49,5,382.635,49.003608,-115.053908,22.3,,,False
IMG_0433,IMG_0433.JPEG,2026-07-19T19:42:37,7,484.853,48.0586,-114.073044,63.8,,,False
IMG_0467,IMG_0467.JPEG,2026-07-20T14:25:59,7,559.15,47.1805,-113.474936,1.0,,,False
IMG_0489,IMG_0489.JPEG,2026-07-21T07:13:07,8,559.152,47.180517,-113.474892,1.2,,,False
IMG_0495,IMG_0495.JPEG,2026-07-21T08:10:32,8,565.241,47.109814,-113.429467,5.3,,,False
IMG_0516,IMG_0516.JPEG,2026-07-21T12:48:22,8,612.1,46.867478,-113.986769,571.6,,,False
IMG_5541,IMG_5541.JPEG,2026-07-13T09:17:34,1,0.0,52.87865,-118.079536,14.1,,,False
IMG_9879,IMG_9879.JPEG,2026-07-13T07:57:57,1,0.0,52.878711,-118.079553,12.0,,,False
